id_ext_link,id_source,source,url,rating,normalized_rating,reviews_nr,normalized_reviews,last_refresh,id_outlet_info
9826825022945582,MYDD08549,Grab,MYDD08549,4.7,9,300,8,2020-06-26,2681718311203620
4215089587803506,1-CYUBGA4CTTB1RN,Grab,1-CYUBGA4CTTB1RN,4.2,4,491,9,2020-06-26,5698186445893325
4103122356512786,1-CY2AVTMUDANFPA,Grab,1-CY2AVTMUDANFPA,4.7,9,244,7,2020-06-26,692275246282260
3718511154333591,1-CYTWNJC3EEW3R2,Grab,1-CYTWNJC3EEW3R2,3.7,2,255,8,2020-06-26,4698084475859894
7882728707135913,MYDD07478,Grab,MYDD07478,4.6,9,131,6,2020-06-26,5302042194776825
5063530080602575,1-CYVDSAUTVUE3JE,Grab,1-CYVDSAUTVUE3JE,4.4,7,43,4,2020-06-26,463904767577028
832243519953605,1-CZEGNNM2GZMCAE,Grab,1-CZEGNNM2GZMCAE,5.0,10,1,1,2020-06-26,697586706745945
5524280243565597,1-CY53LUVVDFU1C6,Grab,1-CY53LUVVDFU1C6,4.7,9,33,4,2020-06-26,9272030829507593
8495378768778596,1-CZBCPFUJJ7NURA,Grab,1-CZBCPFUJJ7NURA,4.9,10,16,3,2020-06-26,4184350562765098
5994165968764083,1-CYLVV8AKHB2CJA,Grab,1-CYLVV8AKHB2CJA,4.2,4,58,5,2020-06-26,6428310050421089
4306210969821866,1-CYUVREXHBEWKRT,Grab,1-CYUVREXHBEWKRT,4.4,7,82,5,2020-06-26,9148283759605385
924835111013711,1-CY53LUVVDBTKKA,Grab,1-CY53LUVVDBTKKA,4.0,3,10,2,2020-06-26,3690220666544507
8543550037348958,1-CYVZVBNFPBVGRN,Grab,1-CYVZVBNFPBVGRN,4.2,4,56,4,2020-06-26,3676258304526571
9951656932561292,1-CY3DGACZCTEERA,Grab,1-CY3DGACZCTEERA,3.8,2,53,4,2020-06-26,1296900213578982
5491838679405596,1-CYM2CXVBUA41RJ,Grab,1-CYM2CXVBUA41RJ,0.0,1,0,0,2020-06-26,1494949458982935
8006328138811502,1-CYNYJ7VUJKC1R6,Grab,1-CYNYJ7VUJKC1R6,4.2,4,18,3,2020-06-26,1024229822391812
3372100019645418,1-CY23EPUCNEKHCN,Grab,1-CY23EPUCNEKHCN,4.6,9,111,6,2020-06-26,9323170367562573
4796489967269834,1-CYWEL65VCVCCTA,Grab,1-CYWEL65VCVCCTA,4.4,7,44,4,2020-06-26,6683545265424758
792130201577297,1-CY3DGACZGYDBDA,Grab,1-CY3DGACZGYDBDA,4.1,3,85,5,2020-06-26,9182232210279820
6712777971348168,1-CYVBC7BAJAVXTA,Grab,1-CYVBC7BAJAVXTA,4.1,3,29,3,2020-06-26,262488962771078
7273432418977594,1-CYXDNRN1HFJFV2,Grab,1-CYXDNRN1HFJFV2,4.3,5,38,4,2020-06-26,7929084611818135
3550801660566622,1-CYUHE8KTEX5CJ2,Grab,1-CYUHE8KTEX5CJ2,4.0,3,3,1,2020-06-26,7408471915229818
7414455102430356,1-CYVTL4EAGVLAJJ,Grab,1-CYVTL4EAGVLAJJ,1.0,1,1,1,2020-06-26,2980984182650531
8327904219310290,1-CYMGEBDKMFX2RE,Grab,1-CYMGEBDKMFX2RE,4.7,9,465,9,2020-06-26,5634423236695932
4543965358429123,MYDD10199,Grab,MYDD10199,4.2,4,267,8,2020-06-26,4776608318318289
6723617114770643,MYDD10201,Grab,MYDD10201,4.4,7,130,6,2020-06-26,8337657959788722
3221329645338850,1-CZBGE6D3C6LFTA,Grab,1-CZBGE6D3C6LFTA,4.3,5,63,5,2020-06-26,5322280151748753
9808164578665734,MYDD10745,Grab,MYDD10745,4.2,4,436,9,2020-06-26,6638788273266613
5776628027718947,1-CYUYEXV1NTEKJ6,Grab,1-CYUYEXV1NTEKJ6,4.4,7,247,7,2020-06-26,943916164659698
768719049116381,1-CY2HN6EVRNWDTX,Grab,1-CY2HN6EVRNWDTX,4.2,4,36,4,2020-06-26,5661416500358197
3832874524662784,1-CZEJRAMEEBETFE,Grab,1-CZEJRAMEEBETFE,4.0,3,9,2,2020-06-26,2951670905426208
4344574899648293,1-CYXKR6KZL4EDUE,Grab,1-CYXKR6KZL4EDUE,4.3,5,235,7,2020-06-26,6694995419734698
4475337762046931,1-CZC1EYXZC4J2SE,Grab,1-CZC1EYXZC4J2SE,3.8,2,5,1,2020-06-26,3229071628765560
717269560643184,1-CY3FR3D2TZBJGT,Grab,1-CY3FR3D2TZBJGT,4.4,7,11,2,2020-06-26,7022797898016261
5888182091166454,1-CYNYJ7VEAB6FTX,Grab,1-CYNYJ7VEAB6FTX,4.2,4,105,6,2020-06-26,2653948490102840
6740487290395750,1-CYUURJDZV6LXTX,Grab,1-CYUURJDZV6LXTX,4.5,8,13,2,2020-06-26,1540293754861209
2247595873142952,1-CYUXLFEYRREGUE,Grab,1-CYUXLFEYRREGUE,4.6,9,32,4,2020-06-26,248294482378938
2621854807979738,1-CY4DV2XHL3W2J2,Grab,1-CY4DV2XHL3W2J2,3.9,2,14,2,2020-06-26,8129525691083861
2580881524326424,1-CY2AAGBBR75ZME,Grab,1-CY2AAGBBR75ZME,4.8,10,24,3,2020-06-26,6152504810121810
8203646705875855,1-CY4XJBL1DBDTGE,Grab,1-CY4XJBL1DBDTGE,0.0,1,0,0,2020-06-26,5147307570493922
2009974362506197,1-CZEALEAERJ5ZAT,Grab,1-CZEALEAERJ5ZAT,4.1,3,7,2,2020-06-26,582132141579703
9973038146815939,1-CYTDG3NVE7JVJX,Grab,1-CYTDG3NVE7JVJX,4.7,9,585,9,2020-06-26,1345647755388140
4910768826190954,MYDD09199,Grab,MYDD09199,4.0,3,310,8,2020-06-26,539102070884117
6316893273585256,MYDD08274,Grab,MYDD08274,4.6,9,107,6,2020-06-26,572264420214019
2369981037683198,1-CY6ZR6VDWETKAN,Grab,1-CY6ZR6VDWETKAN,4.5,8,112,6,2020-06-26,4415988181827229
7357518259990969,1-CYLTR6CUNAKYCT,Grab,1-CYLTR6CUNAKYCT,4.3,5,119,6,2020-06-26,6233365631171288
3010918175664669,1-CYLKTYLFLANYV2,Grab,1-CYLKTYLFLANYV2,4.3,5,1080,10,2020-06-26,4409666487632658
7225538977286396,MYDD10865,Grab,MYDD10865,4.4,7,390,8,2020-06-26,8357466272375352
1474510678795153,1-CY5TRBBHDFNTJE,Grab,1-CY5TRBBHDFNTJE,4.3,5,603,9,2020-06-26,6837137457978776
2881200880868780,MYDD09915,Grab,MYDD09915,4.1,3,1785,10,2020-06-26,8839689998752152
7603455206419576,1-CZDZCREVJFV1NJ,Grab,1-CZDZCREVJFV1NJ,4.6,9,14,2,2020-06-26,1275664833224054
2703976133794552,1-CZBADF3KGPM1RE,Grab,1-CZBADF3KGPM1RE,4.5,8,19,3,2020-06-26,537898882106039
7285412880377095,1-CYNYKACGRNK2NN,Grab,1-CYNYKACGRNK2NN,4.1,3,42,4,2020-06-26,2381352031225358
3877104068558088,1-CYVTL4EAAUCWME,Grab,1-CYVTL4EAAUCWME,4.1,3,107,6,2020-06-26,3651068323529438
3514046577439297,MYDD07369,Grab,MYDD07369,4.3,5,5082,10,2020-06-26,7048510647336400
